BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,NEW DIST
650,1,8,6,,1,8,6,6501046,MISSION BBQ CANTON,3701,BOSTON STREET,BALTIMORE,21224,8/15/2013,458.6,14.713333333333333,39.276884,-76.565012,458.6,14.713333333333333,12
650,1,8,5,,1,8,5,196500009,AKIRA RAMEN & IZAKAYA,3731,BOSTON STREET,BALTIMORE,21224,3/12/2019,256.1066666666667,0,39.276183,-76.56506201,256.1066666666667,0,1
650,1,8,4,,1,8,4,650826,K & D RESTAURANT,3706,EASTERN AVENUE,BALTIMORE ,21224,8/29/2011,213.85,8.85,39.2868183,-76.5661911,213.85,8.85,12
650,1,8,7,,1,8,7,196500013,PHO BAC,700,POTOMAC STREET,BALTIMORE,21224,4/19/2019,240.76333333333332,0,39.284185,-76.574468,240.76333333333332,0,8
650,1,9,1,,1,9,1,196500024,NAKED GRILL SUSHI AND YAKITORI,2748,LIGHTHOUSE POINT EAST,BALTIMORE,21224,8/26/2019,207,0,39.27815590782199,-76.5780814,207,0,4
650,1,9,2,,1,9,2,166500075,CHESAPEAKE WINE COMPANY,2400,BOSTON STREET,BALTIMORE,21224,2/29/2016,205,0,39.2812022,-76.5800877,205,0,3
650,1,8,8,,1,8,8,236500017,SCHOLA,2744,LIGHTHOUSE POINT EAST,BALTIMORE,21224,5/22/2023,246,0,39.27817486044775,-76.57806111,246,0,1
650,1,11,8,,1,11,8,650707,PARK BENCH,1749,BELT STREET,BALTIMORE,21230-4707,10/13/2010,0,0,39.26986825,-76.60544805,0,0,6
650,1,11,5,,1,11,5,156500184,TABRIZI'S,500,HARBORVIEW DRIVE,BALTIMORE,21230,6/17/2015,0,0,39.28154,-76.607698,0,0,2
650,1,12,6,,1,12,6,650868,PRATT STREET ALE HOUSE,206,WEST PRATT STREET,BALTIMORE,21201-2426,1/13/2012,703.7,253.7,39.28641,-76.61904,703.7,253.7,6
650,1,12,7,,1,12,7,650748,SUPANO'S STEAK HOUSE,110,WATER STREET,BALTIMORE,21202-1001,1/31/2011,225,0,39.2883776,-76.6130822,225,0,132
650,1,11,1,,1,11,1,166500111,TACO FIESTA,618,SOUTH EXETER STREET,BALTIMORE,21202,3/4/2016,355.90666666666664,76.85,39.28403330961741,-76.60041712,355.90666666666664,76.85,3
650,1,10,6,,1,10,6,650479,BLACK OLIVE RESTAURANT,901,SOUTH BOND STREET,BALTIMORE,21231-3339,5/12/2008,194.08,0,39.2805457,-76.594155,194.08,0,3
650,2,8,4,,2,8,4,226500018,AKIRA RAMEN - TOWSON,1,EAST JOPPA ROAD,TOWSON,21286,7/20/2022,356.86,0,39.401807,-76.601901,356.86,0,1
650,2,8,5,,2,8,5,216500041,SWEETGREEN -TOWSON,1,E. JOPPA ROAD,TOWSON,21286,11/30/2021,699.1233333333333,477.40666666666664,39.401807,-76.601901,699.1233333333333,477.40666666666664,3
650,2,8,7,,2,8,7,196500005,NEW GENERATION HOT POT,413,YORK ROAD,TOWSON,21204-5124,1/23/2019,478.2933333333333,0,39.3999508,-76.6027091,478.2933333333333,0,104
650,2,9,1,,2,9,1,65050330,GLORY DAYS GRILL - TOWSON,1220,EAST JOPPA ROAD,TOWSON,21286,10/23/2002,1074.2366666666667,481.0666666666666,39.3973766,-76.576458,1074.2366666666667,481.0666666666666,29
650,2,8,6,,2,8,6,236500020,KUNG FU 12 SUSHI,416,YORK ROAD,TOWSON,21204,6/19/2023,0,0,39.399901,-76.6023893,0,0,1
650,2,10,4,,2,10,4,236500021,PURE RAW JUICE,6809,YORK ROAD,TOWSON,21212-1510,7/17/2023,246,0,39.37776802040816,-76.60858559,246,0,98
650,1,9,3,,1,9,3,146500261,KATANA SUSHI BALTIMORE,845,SOUTH MONTFORD AVENUE,BALTIMORE,21224-3643,12/16/2014,175,0,39.2821105,-76.58237485,175,0,2
650,1,9,4,,1,9,4,196500033,NIHAO,2322,BOSTON STREET,BALTIMORE,21224-3601,10/9/2019,663.0866666666666,123.26666666666667,39.28296605,-76.58380165,663.0866666666666,123.26666666666667,9
650,1,10,4,,1,10,4,176500002,PENNY BLACK,1800,THAMES STREET,BALTIMORE,21231,2/17/2017,184,0,39.28210535,-76.5909991,184,0,2
650,1,10,5,,1,10,5,650778,THAMES STREET OYSTER,1728,THAMES STREET,BALTIMORE,21231,4/18/2011,556.67,0,39.281952,-76.59247543,556.67,0,3
650,1,10,3,,1,10,3,156500195,TWIST FELLS POINT,723,SOUTH BROADWAY,BALTIMORE,21231-3407,6/22/2015,241.1333333333333,0,39.28292145,-76.59281426,241.1333333333333,0,2
650,1,9,7,,1,9,7,650432,EL SALVADOR RESTAURANT,207,SOUTH BROADWAY,BALTIMORE,21231-2406,8/6/2007,393.7033333333333,0,39.28899655,-76.59328361,393.7033333333333,0,1
650,1,9,8,,1,9,8,166500229,ANGIE'S SEAFOOD,1727,EAST PRATT STREET,BALTIMORE,21231-1819,8/26/2016,470.50666666666666,0,39.289230775510205,-76.59218398,470.50666666666666,0,3
650,1,11,2,,1,11,2,650938,GERMANO'S TRATTORIA,300,SOUTH HIGH STREET,BALTIMORE,21202-4333,10/15/2012,0,0,39.286175,-76.601852,0,0,1
650,1,13,6,,1,13,6,236500028,NOONA'S PIZZA,1203,WEST MOUNT ROYAL AVENUE,BALTIMORE,21217,11/16/2023,264.49666666666667,27.98333333333333,39.30713524489796,-76.6201328,264.49666666666667,27.98333333333333,4
650,1,11,4,,1,11,4,196500020,AMICCIS,231,SOUTH HIGH STREET,BALTIMORE,21202-4454,8/15/2019,715,0,39.286811615384615,-76.60201969,715,0,8
650,1,11,3,,1,11,3,65092620,LA TAVOLA,248,ALBEMARLE STREET,BALTIMORE,21202-4455,4/8/1997,440.15666666666664,90.76666666666667,39.28647964864865,-76.60263603,440.15666666666664,90.76666666666667,1
650,1,10,2,,1,10,2,216500001,ASAHI SUSHI,514,SOUTH BROADWAY,BALTIMORE,21231,1/4/2021,0,0,39.28503015,-76.593912,0,0,3
650,1,8,3,,1,8,3,236500009,OVENBIRD BAKERY,300,3925 GOUGH STREET,BALTIMORE,21224,3/1/2023,518.2833333333333,164,39.289027,-76.557219,518.2833333333333,164,9
