BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,Stop ID,NEW DIST
650,2,9,5,,28.0,1,5,650826,K & D RESTAURANT,3706,EASTERN AVENUE,BALTIMORE ,21224,2011-08-29 00:00:00,213.85,8.85,39.2868183,-76.5661911,213.85,8.85,34,54.0
650,1,17,2,,36.0,1,2,196500013,PHO BAC,700,POTOMAC STREET,BALTIMORE,21224,2019-04-19 00:00:00,240.76333333333332,0.0,39.284185,-76.574468,240.76333333333332,0.0,35,8.0
650,3,2,5,,41.0,1,5,196500024,NAKED GRILL SUSHI AND YAKITORI,2748,LIGHTHOUSE POINT EAST,BALTIMORE,21224,2019-08-26 00:00:00,207.0,0.0,39.27815590782199,-76.57808139852338,207.0,0.0,36,72.0
650,2,15,8,,34.0,1,8,166500075,CHESAPEAKE WINE COMPANY,2400,BOSTON STREET,BALTIMORE,21224,2016-02-29 00:00:00,205.0,0.0,39.2812022,-76.5800877,205.0,0.0,37,0.0
650,1,17,1,,36.0,1,1,236500017,SCHOLA,2744,LIGHTHOUSE POINT EAST,BALTIMORE,21224,2023-05-22 00:00:00,246.0,0.0,39.27817486044775,-76.57806111040526,246.0,0.0,38,0.0
650,1,5,1,,24.0,1,1,650707,PARK BENCH,1749,BELT STREET,BALTIMORE,21230-4707,2010-10-13 00:00:00,0.0,0.0,39.26986825,-76.60544804741379,0.0,0.0,39,0.0
650,3,10,3,,29.0,1,3,156500184,TABRIZI'S,500,HARBORVIEW DRIVE,BALTIMORE,21230,2015-06-17 00:00:00,0.0,0.0,39.28154,-76.607698,0.0,0.0,40,6.0
650,3,5,4,,44.0,1,4,650868,PRATT STREET ALE HOUSE,206,WEST PRATT STREET,BALTIMORE,21201-2426,2012-01-13 00:00:00,703.7,253.7,39.28641,-76.61904,703.7,253.7,41,2.0
650,3,5,5,,44.0,1,5,650748,SUPANO'S STEAK HOUSE,110,WATER STREET,BALTIMORE,21202-1001,2011-01-31 00:00:00,225.0,0.0,39.2883776,-76.6130822,225.0,0.0,42,6.0
650,3,10,4,,29.0,1,4,166500111,TACO FIESTA,618,SOUTH EXETER STREET,BALTIMORE,21202,2016-03-04 00:00:00,355.90666666666664,76.85,39.28403330961741,-76.60041712483532,355.90666666666664,76.85,43,7.0
650,1,5,5,,24.0,1,5,650479,BLACK OLIVE RESTAURANT,901,SOUTH BOND STREET,BALTIMORE,21231-3339,2008-05-12 00:00:00,194.08,0.0,39.2805457,-76.594155,194.08,0.0,44,3.0
650,1,13,1,,12.0,1,1,226500018,AKIRA RAMEN - TOWSON,1,EAST JOPPA ROAD,TOWSON,21286,2022-07-20 00:00:00,356.86,0.0,39.401807,-76.601901,356.86,0.0,45,0.0
650,2,18,3,,37.0,1,3,216500041,SWEETGREEN -TOWSON,1,E. JOPPA ROAD,TOWSON,21286,2021-11-30 00:00:00,699.1233333333333,477.40666666666664,39.401807,-76.601901,699.1233333333333,477.40666666666664,46,69.0
650,3,19,2,,38.0,1,2,196500005,NEW GENERATION HOT POT,413,YORK ROAD,TOWSON,21204-5124,2019-01-23 00:00:00,478.2933333333333,0.0,39.3999508,-76.6027091,478.2933333333333,0.0,47,8.0
650,3,16,8,,35.0,1,8,65050330,GLORY DAYS GRILL - TOWSON,1220,EAST JOPPA ROAD,TOWSON,21286,2002-10-23 00:00:00,1074.2366666666667,481.0666666666666,39.3973766,-76.576458,1074.2366666666667,481.0666666666666,48,0.0
650,3,19,3,,38.0,1,3,236500020,KUNG FU 12 SUSHI,416,YORK ROAD,TOWSON,21204,2023-06-19 00:00:00,0.0,0.0,39.399901,-76.6023893,0.0,0.0,49,1.0
650,3,19,4,,38.0,1,4,236500021,PURE RAW JUICE,6809,YORK ROAD,TOWSON,21212-1510,2023-07-17 00:00:00,246.0,0.0,39.37776802040816,-76.60858559183673,246.0,0.0,50,26.0
650,2,15,7,,34.0,1,7,146500261,KATANA SUSHI BALTIMORE,845,SOUTH MONTFORD AVENUE,BALTIMORE,21224-3643,2014-12-16 00:00:00,175.0,0.0,39.2821105,-76.5823748505866,175.0,0.0,51,11.0
650,1,5,8,,24.0,1,8,196500033,NIHAO,2322,BOSTON STREET,BALTIMORE,21224-3601,2019-10-09 00:00:00,663.0866666666666,123.26666666666667,39.28296605,-76.58380164774391,663.0866666666666,123.26666666666667,52,0.0
650,1,5,7,,24.0,1,7,176500002,PENNY BLACK,1800,THAMES STREET,BALTIMORE,21231,2017-02-17 00:00:00,184.0,0.0,39.28210535,-76.5909991,184.0,0.0,53,2.0
650,2,15,5,,34.0,1,5,650778,THAMES STREET OYSTER,1728,THAMES STREET,BALTIMORE,21231,2011-04-18 00:00:00,556.67,0.0,39.281952,-76.59247542857143,556.67,0.0,54,7.0
650,1,5,6,,24.0,1,6,156500195,TWIST FELLS POINT,723,SOUTH BROADWAY,BALTIMORE,21231-3407,2015-06-22 00:00:00,241.1333333333333,0.0,39.28292145,-76.5928142576752,241.1333333333333,0.0,55,3.0
