BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG
650,01,07,03,650,01,07,03,146500058,MISSION BBQ COLUMBIA,6270,COLUMBIA CROSSING CIRCLE,COLUMBIA,21045,06/24/2014,1026.36,166.13
650,01,07,"01,01",650,01,07,"01,01",65091580,SHANNON'S SALOON & RESTAURANT,9338,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21042-2805,12/29/2003,2112.21,1321.17
650,01,07,"04,02",650,01,07,"04,02",6501006,THE ALL AMERICAN STEAKHOUSE,3615,EAST JOPPA ROAD,PARKVILLE,21234,05/01/2013,1171.26,244.68
650,01,08,01,650,01,08,01,650432,EL SALVADOR RESTAURANT,207,SOUTH BROADWAY,BALTIMORE,21231-2406,08/06/2007,414.85,0.00
650,01,08,02,650,01,08,02,166500229,ANGIE'S SEAFOOD,1727,EAST PRATT STREET,BALTIMORE,21231-1819,08/26/2016,471.14,0.00
650,01,08,03,650,01,08,03,216500032,LITTLE DONNA'S ,1812,BANK STREET,BALTIMORE,21231-2506,09/08/2021,321.09,0.00
650,01,08,04,650,01,08,04,216500001,ASAHI SUSHI,514,SOUTH BROADWAY,BALTIMORE,21231-2912,01/04/2021,0.00,0.00
650,01,08,05,650,01,08,05,156500195,TWIST FELLS POINT,723,SOUTH BROADWAY,BALTIMORE,21231-3407,06/22/2015,249.50,0.00
650,01,08,06,650,01,08,06,176500002,PENNY BLACK,1800,THAMES STREET,BALTIMORE,21231-3509,02/17/2017,184.00,0.00
650,01,08,08,650,01,08,08,650479,BLACK OLIVE RESTAURANT,901,SOUTH BOND STREET,BALTIMORE,21231-3339,05/12/2008,197.63,0.00
650,01,08,"07,03",650,01,08,"07,03",650778,THAMES STREET OYSTER,1728,THAMES STREET,BALTIMORE,21231,04/18/2011,580.91,0.00
650,01,09,01,650,01,09,01,196500009,AKIRA RAMEN & IZAKAYA,3731,BOSTON STREET,BALTIMORE,21224,03/12/2019,250.92,0.00
650,01,09,02,650,01,09,02,166500075,CHESAPEAKE WINE COMPANY,2400,BOSTON STREET,BALTIMORE,21224,02/29/2016,205.00,0.00
650,01,09,03,650,01,09,03,146500261,KATANA SUSHI BALTIMORE,845,SOUTH MONTFORD AVENUE,BALTIMORE,21224-3643,12/16/2014,175.00,0.00
650,01,09,04,650,01,09,04,196500033,NIHAO,2322,BOSTON STREET,BALTIMORE,21224-3601,10/09/2019,654.21,102.17
650,01,09,05,650,01,09,05,186500024,CHARMED KITCHEN,123,SOUTH CHESTER STREET,BALTIMORE,21231-2010,09/04/2018,269.50,20.50
650,01,09,06,650,01,09,06,206500015,FRESH EXPRESS,525,NORTH WOLFE STREET,BALTIMORE,21205-2110,12/14/2020,269.00,0.00
650,01,10,01,650,01,10,01,236500009,OVENBIRD BAKERY,300,"3925 GOUGH STREET, STE 2",BALTIMORE,21224,03/01/2023,562.47,205.40
650,01,10,02,650,01,10,02,650826,K & D RESTAURANT,3706,EASTERN AVENUE,BALTIMORE,21224-4207,08/29/2011,222.70,17.70
650,01,10,03,650,01,10,03,196500013,PHO BAC,700,SOUTH POTOMAC STREET,BALTIMORE,21224-3955,04/19/2019,240.76,0.00
650,01,10,04,650,01,10,04,6501046,MISSION BBQ CANTON,3701,BOSTON STREET,BALTIMORE,21224,08/15/2013,488.36,29.43
650,01,10,05,650,01,10,05,236500017,SCHOLA,2744,LIGHTHOUSE POINT EAST,BALTIMORE,21224,05/22/2023,256.62,0.00
650,01,10,06,650,01,10,06,196500024,NAKED GRILL SUSHI AND YAKITORI,2748,LIGHTHOUSE POINT EAST,BALTIMORE,21224-4759,08/26/2019,276.00,0.00
650,01,11,01,650,01,11,01,236500023,MISSION BBQ - WILMINGTON,3662,CONCORD PIKE,WILMINGTON,19803,07/17/2023,806.55,115.79
650,01,11,02,650,01,11,02,166500225,HIBACHI GRILL & SUPREME SUSHI BUFFET,4403,KIRKWOOD HIGHWAY,WILMINGTON,19808,07/29/2016,716.09,0.00
650,01,11,03,650,01,11,03,226500017,PLAZA AZTECA,928,BEAR CORBITT ROAD,NEWARK,19702,07/11/2022,1095.47,25.43
650,01,12,01,650,01,12,01,226500025,FIESTA MAYA MEXICAN GRILL,200,PENCADER PLAZA,NEWARK,19713,09/21/2022,270.35,0.00
650,01,12,02,650,01,12,02,216500002,KUNGFU HOTPOT ,230,EAST MAIN STREET,NEWARK,19711,01/04/2021,354.96,0.00
650,01,12,03,650,01,12,03,216500004,FREDDY'S WINGS AND WRAPS ,174,EAST MAIN STREET,NEWARK,19711-7309,01/11/2021,220.00,0.00
650,01,12,04,650,01,12,04,196500014,ROOTS NATURAL KITCHEN,120,EAST MAIN STREET,NEWARK,19711,05/16/2019,518.51,0.00
650,01,12,05,650,01,12,05,65040669,NEWARK COUNTRY CLUB,300,WEST MAIN STREET,NEWARK,19711-3218,04/12/2006,178.55,0.00
650,01,12,06,650,01,12,06,650419,LA CUCINA RESTAURANT,103,NORTH WASHINGTON STREET,HAVRE DE GRACE,21078,05/16/2007,351.44,0.00
650,01,13,05,650,01,13,05,650748,SUPANO'S STEAK HOUSE,110,WATER STREET,BALTIMORE,21202-1001,01/31/2011,225.00,0.00
650,01,13,06,650,01,13,06,226500023,ROSINA'S GOURMET,300,EAST LOMBARD STREET,BALTIMORE,21202-3219,09/27/2022,297.00,0.00
650,01,13,07,650,01,13,07,196500023,ROD DEE THAI,340,NORTH CHARLES STREET,BALTIMORE,21201,08/19/2019,80.00,0.00
650,01,13,08,650,01,13,08,65093622,SOTTO SOPRA,405,NORTH CHARLES STREET,BALTIMORE,21201-0000,07/12/1999,387.23,0.00
650,01,13,09,650,01,13,09,146500121,IGGIES RESTAURANT,818,NORTH CALVERT STREET,BALTIMORE,21202,08/13/2014,0.00,0.00
650,01,13,10,650,01,13,10,176500020,CAFE FILI,816,CATHEDRAL STREET,BALTIMORE,21201,06/05/2017,252.22,0.00
650,01,13,11,650,01,13,11,216500030,CENTRAL BAR ,885,NORTH HOWARD STREET,BALTIMORE,21201,08/27/2021,0.00,0.00
650,01,13,12,650,01,13,12,236500028,NOONA'S PIZZA,1203,WEST MOUNT ROYAL AVENUE,BALTIMORE,21217,11/16/2023,246.60,10.08
650,01,14,06,650,01,14,06,186500030,LE COMPTOIR DU VIN,1729,MARYLAND AVENUE,BALTIMORE,21201,10/25/2018,288.41,56.45
650,01,14,07,650,01,14,07,216500029,CHURCH BAR,2219 ,MARYLAND AVE,BALTIMORE,21218,08/10/2021,0.00,0.00
650,01,14,08,650,01,14,08,216500031,SAKOON INDIAN FUSION,3105 B,ST. PAUL STREET,BALTIMORE,21218,09/07/2021,189.00,0.00
650,01,14,09,650,01,14,09,236500019,TOKI UNDERGROUND,2731,GREENMOUNT AVENUE,BALTIMORE,21218-4496,06/21/2023,287.27,41.27
650,01,14,10,650,01,14,10,65040034,CHARLES VILLAGE PUB ,3107,SAINT PAUL STREET,BALTIMORE,21218-3841,03/14/2002,314.93,0.00
650,01,14,11,650,01,14,11,65086721,TAMBERS NIFTY FIFTY,3327,SAINT PAUL STREET,BALTIMORE,21218-3254,05/16/2006,185.00,0.00
650,01,14,12,650,01,14,12,226500016,KAJIKEN,7,EAST 33RD STREET,BALTIMORE,21218,07/15/2022,318.36,0.00
650,01,14,13,650,01,14,13,236500018,BE.BIM KOREAN BBQ,301,WEST 29TH STREET,BALTIMORE,21211-2910,06/19/2023,240.00,0.00
650,01,15,01,650,01,15,01,216500015,REMI'S ,300,W. 30TH STREET,BALTIMORE,21211,04/16/2021,0.00,0.00
650,01,15,02,650,01,15,02,156500396,COSIMA,3000,FALLS ROAD,BALTIMORE,21211,11/04/2015,932.63,361.15
